id,hadith,hukm,rawi,source,page,takhrij,categories
262,- ليسَ فيما دونَ خَمسةِ أواقٍ صدقةٌ، ولا فيما دونَ خَمسِ ذَودٍ صدقةٌ، وليسَ فيما دونَ خمسِ أوسُقٍ صدقةٌ,صحيح,أبو سعيد الخدري,صحيح النسائي,2472,أخرجه النسائي (2473) واللفظ له، والبخاري (1405) باختلاف يسير، ومسلم (979) مع التقديم والتأخير.,زكاة - زكاة الأنعام|زكاة - زكاة الحبوب|زكاة - زكاة الذهب والفضة|زكاة - ما تجب فيه الزكاة
263,- ليسَ فيما دونَ خمسِ أوسُقٍ منَ التَّمرِ صدقةٌ ، وليس فيما دون خمس أواق منَ الورقِ صدقةٌ ، وليسَ فيما دونَ خمسِ ذودٍ منَ الإبلِ صدقةٌ,صحيح,أبو سعيد الخدري,صحيح النسائي,2473,أخرجه البخاري (1459)، والنسائي (2474) واللفظ لهما، ، ومسلم (979) بنحوه.,زكاة - زكاة الإبل|زكاة - زكاة التمر|زكاة - زكاة الذهب والفضة|زكاة - ما تجب فيه الزكاة|زكاة - ما لا زكاة فيه
265,- اعتمَر النَّبيُّ صلَّى اللهُ عليه وسلَّم في ذي القَعدةِ فأبى أهلُ مكَّةَ أنْ يدَعوه أنْ يدخُلَ مكَّة حتَّى قاضاهم على أنْ يُقيمَ بها ثلاثةَ أيَّامٍ فلمَّا كتَبوا الكتابَ كتَبوا: هذا ما قاضى عليه محمَّدٌ رسولُ اللهِ فقالوا: لا نُقِرُّ بهذا لو نعلَمُ أنَّك رسولُ اللهِ ما منَعْناك شيئًا ولكِنْ أنتَ محمَّدُ بنُ عبدِ اللهِ فقال: ( أنا رسولُ اللهِ وأنا محمَّدُ بنُ عبدِ اللهِ ) فقال لِعليٍّ: ( امحُ رسولَ اللهِ ) قال: واللهِ لا أمحوك أبدًا فأخَذ رسولُ اللهِ صلَّى اللهُ عليه وسلَّم الكتابَ وليس يُحسِنُ يكتُبُ فأمَر فكتَب مكانَ رسولِ اللهِ محمَّدًا، فكتَب: هذا ما قاضى عليه محمَّدُ بنُ عبدِ اللهِ: أنْ لا يدخُلَ مكَّةَ بالسِّلاحِ إلَّا السَّيفَ في القُرُبِ ولا يخرُجَ منها بأحدٍ يتبَعُه ولا يمنَعَ أحدًا مِن أصحابِه إنْ أراد أنْ يُقيمَ بها فلمَّا دخَلها ومضى الأجَلُ أتَوْا عليًّا فقالوا: قُلْ لصاحبِك فلْيخرُجْ عنَّا فقد مضى الأجَلُ فخرَج رسولُ اللهِ صلَّى اللهُ عليه وسلَّم فتبِعتْهم بنتُ حمزةَ تُنادي يا عمِّ يا عمِّ فتناوَلها عليٌّ رضوانُ اللهِ عليه فأخَذ بيدِها وقال لفاطمةَ: دونَكِ ابنةَ عمِّكِ فحمَلتْها فاختصَم فيها عليٌّ وزيدٌ وجعفرٌ فقال عليٌّ: أنا أخَذْتُها وهي ابنةُ عمِّي وقال جعفرٌ: ابنةُ عمِّي وخالتُها تحتي وقال زيدٌ: ابنةُ أخي فقضى بها رسولُ اللهِ لخالتِها وقال: ( الخالةُ بمنزلةِ الأمِّ ) وقال لِعليٍّ: ( أنتَ منِّي وأنا منك ) وقال لجعفرٍ: ( أشبَهْتَ خَلْقي وخُلُقي ) وقال لزيدٍ: ( أنتَ أخونا ومولانا ),أخرجه في صحيحه,البراء بن عازب,صحيح ابن حبان,4873,أخرجه البخاري (2699) بلفظه، وأحمد (18635)، والدارمي (2549) باختلاف يسير,عمرة - العمرة في أشهر الحج|أقضية وأحكام - قضايا حكم فيها النبي صلى الله عليه وسلم|صلح - الصلح مع المشركين|صلح - كتابة الصلح|مناقب وفضائل - علي بن أبي طالب
266,- أنَّ النبيَّ صَلَّى اللهُ عليه وسلَّمَ لَمَّا أَرَادَ أَنْ يَعْتَمِرَ أَرْسَلَ إلى أَهْلِ مَكَّةَ يَسْتَأْذِنُهُمْ لِيَدْخُلَ مَكَّةَ، فَاشْتَرَطُوا عليه أَنْ لا يُقِيمَ بهَا إلَّا ثَلَاثَ لَيَالٍ، ولَا يَدْخُلَهَا إلَّا بجُلُبَّانِ السِّلَاحِ، ولَا يَدْعُوَ منهمْ أَحَدًا، قالَ: فأخَذَ يَكْتُبُ الشَّرْطَ بَيْنهُمْ عَلِيُّ بنُ أَبِي طَالِبٍ فَكَتَبَ هذا ما قَاضَى عليه مُحَمَّدٌ رَسولُ اللَّهِ، فَقالوا: لو عَلِمْنَا أنَّكَ رَسولُ اللَّهِ لَمْ نَمْنَعْكَ ولَبَايَعْنَاكَ، ولكِنِ اكْتُبْ هذا ما قَاضَى عليه مُحَمَّدُ بنُ عبدِ اللَّهِ، فَقالَ: أَنَا واللَّهِ مُحَمَّدُ بنُ عبدِ اللَّهِ، وأَنَا واللَّهِ رَسولُ اللَّهِ قالَ: وكانَ لا يَكْتُبُ، قالَ: فَقالَ لِعَلِيٍّ: امْحَ رَسولَ اللَّهِ فَقالَ عَلِيٌّ: واللَّهِ لا أَمْحَاهُ أَبَدًا، قالَ: فأرِنِيهِ، قالَ: فأرَاهُ إيَّاهُ فَمَحَاهُ النبيُّ صَلَّى اللهُ عليه وسلَّمَ بيَدِهِ، فَلَمَّا دَخَلَ ومَضَتِ الأيَّامُ، أَتَوْا عَلِيًّا، فَقالوا: مُرْ صَاحِبَكَ فَلْيَرْتَحِلْ، فَذَكَرَ ذلكَ عَلِيٌّ رَضِيَ اللَّهُ عنْه لِرَسولِ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ، فَقالَ: نَعَمْ ثُمَّ ارْتَحَلَ.,[صحيح],البراء بن عازب,صحيح البخاري,3184,أخرجه البيهقي (13416) بلفظه، ومسلم (1783)، وأبو داود الطيالسي (748) بمعناه.,صلح - الصلح مع المشركين|صلح - كتابة الصلح|مغازي - صلح الحديبية|مناقب وفضائل - علي بن أبي طالب|جهاد - المعاهدة مع أهل الشرك
267,- لَمَّا صَالَحَ رَسولُ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ أهْلَ الحُدَيْبِيَةِ، كَتَبَ عَلِيُّ بنُ أبِي طَالِبٍ بيْنَهُمْ كِتَابًا، فَكَتَبَ مُحَمَّدٌ رَسولُ اللَّهِ، فَقَالَ المُشْرِكُونَ: لا تَكْتُبْ مُحَمَّدٌ رَسولُ اللَّهِ، لو كُنْتَ رَسولًا لَمْ نُقَاتِلْكَ، فَقَالَ لِعَلِيٍّ: امْحُهُ، فَقَالَ عَلِيٌّ: ما أنَا بالَّذِي أمْحَاهُ، فَمَحَاهُ رَسولُ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ بيَدِهِ، وصَالَحَهُمْ علَى أنْ يَدْخُلَ هو وأَصْحَابُهُ ثَلَاثَةَ أيَّامٍ، ولَا يَدْخُلُوهَا إلَّا بجُلُبَّانِ السِّلَاحِ، فَسَأَلُوهُ ما جُلُبَّانُ السِّلَاحِ؟ فَقَالَ: القِرَابُ بما فِيهِ,[صحيح],البراء بن عازب,صحيح البخاري,2698,أخرجه البخاري (2698)، ومسلم (1783),حج - حمل السلاح للمحرم|صلح - الصلح مع المشركين|صلح - كتابة الصلح|مغازي - صلح الحديبية|جهاد - المعاهدة مع أهل الشرك
268,"- كَتَبَ عَلِيُّ بنُ أَبِي طَالِبٍ الصُّلْحَ بيْنَ النبيِّ صَلَّى اللَّهُ عليه وسلَّمَ وبيْنَ المُشْرِكِينَ يَومَ الحُدَيْبِيَةِ، فَكَتَبَ: هذا ما كَاتَبَ عليه مُحَمَّدٌ رَسولُ اللهِ، فَقالوا: لا تَكْتُبْ رَسولُ اللهِ، فلوْ نَعْلَمُ أنَّكَ رَسولُ اللهِ لَمْ نُقَاتِلْكَ، فَقالَ النبيُّ صَلَّى اللَّهُ عليه وسلَّمَ لِعَلِيٍّ: امْحُهُ، فَقالَ: ما أَنَا بالَّذِي أَمْحَاهُ، فَمَحَاهُ النبيُّ صَلَّى اللَّهُ عليه وسلَّمَ بيَدِهِ، قالَ: وَكانَ فِيما اشْتَرَطُوا أَنْ يَدْخُلُوا مَكَّةَ فيُقِيمُوا بهَا ثَلَاثًا، وَلَا يَدْخُلُهَا بسِلَاحٍ إلَّا جُلُبَّانَ السِّلَاحِ.
قُلتُ لأَبِي إسْحَاقَ: وَما جُلُبَّانُ السِّلَاحِ؟ قالَ: القِرَابُ وَما فِيهِ.وفي روايةٍ: سَمِعْتُ البَرَاءَ بنَ عَازِبٍ يقولُ: لَمَّا صَالَحَ رَسولُ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ أَهْلَ الحُدَيْبِيَةِ كَتَبَ عَلِيٌّ كِتَابًا بيْنَهُمْ، قالَ: فَكَتَبَ مُحَمَّدٌ رَسولُ اللهِ...، ثُمَّ ذَكَرَ بنَحْوِ حَديثِ مُعَاذٍ، غيرَ أنَّهُ لَمْ يَذْكُرْ في الحَديثِ: هذا ما كَاتَبَ عليه.",[صحيح],البراء بن عازب,صحيح مسلم,1783,أخرجه البخاري (2698)، ومسلم (1783).,صلح - الصلح مع المشركين|صلح - كتابة الصلح|مغازي - صلح الحديبية|مناقب وفضائل - علي بن أبي طالب|مناقب وفضائل - فضائل أهل البيت والوصاة بهم
269,"- لَمَّا أُحْصِرَ النبيُّ صَلَّى اللَّهُ عليه وسلَّمَ عِنْدَ البَيْتِ، صَالَحَهُ أَهْلُ مَكَّةَ علَى أَنْ يَدْخُلَهَا فيُقِيمَ بهَا ثَلَاثًا، وَلَا يَدْخُلَهَا إلَّا بجُلُبَّانِ السِّلَاحِ، السَّيْفِ وَقِرَابِهِ، وَلَا يَخْرُجَ بأَحَدٍ معهُ مِن أَهْلِهَا، وَلَا يَمْنَعَ أَحَدًا يَمْكُثُ بهَا مِمَّنْ كانَ معهُ، قالَ لِعَلِيٍّ: اكْتُبِ الشَّرْطَ بيْنَنَا، بسْمِ اللهِ الرَّحْمَنِ الرَّحِيمِ، هذا ما قَاضَى عليه مُحَمَّدٌ رَسولُ اللهِ، فَقالَ له المُشْرِكُونَ: لو نَعْلَمُ أنَّكَ رَسولُ اللهِ تَابَعْنَاكَ، وَلَكِنِ اكْتُبْ مُحَمَّدُ بنُ عبدِ اللهِ، فأمَرَ عَلِيًّا أَنْ يَمْحَاهَا، فَقالَ عَلِيٌّ: لا وَاللَّهِ، لا أَمْحَاهَا، فَقالَ رَسولُ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ: أَرِنِي مَكَانَهَا، فأرَاهُ مَكَانَهَا فَمَحَاهَا، وَكَتَبَ ابنُ عبدِ اللهِ، فأقَامَ بهَا ثَلَاثَةَ أَيَّامٍ، فَلَمَّا أَنْ كانَ يَوْمُ الثَّالِثِ قالوا لِعَلِيٍّ: هذا آخِرُ يَومٍ مِن شَرْطِ صَاحِبِكَ، فَأْمُرْهُ فَلْيَخْرُجْ فأخْبَرَهُ بذلكَ، فَقالَ: نَعَمْ، فَخَرَجَ.
وقالَ ابنُ جَنَابٍ في رِوَايَتِهِ مَكانَ تَابَعْنَاكَ: بَايَعْنَاكَ.",[صحيح],البراء بن عازب,صحيح مسلم,1783,أخرجه البخاري (3184) باختلاف يسير,حج - الإحصار|صلح - الصلح مع المشركين|صلح - كتابة الصلح|مغازي - صلح الحديبية|إيمان - حب الرسول
270,- عن عليٍّ، قال: لمَّا خرجنا من مَكَّةَ تبعَتنا بنتُ حمزةَ تنادي: يا عمُّ يا عمُّ فتناولَها عليٌّ فأخذَ بيدِها ، وقال: دونَكِ بنتَ عمِّكَ، فحملَتْها، فقصَّ الخبر، قال: وقالَ جعفرٌ: ابنةُ عمِّي، وخالتُها تحتي، فقضى بِها النَّبيُّ صلَّى اللَّهُ عليْهِ وسلَّمَ لخالتِها، وقال: الخالةُ بمنزلةِ الأمِّ,صحيح,علي بن أبي طالب,صحيح أبي داود,2280,أخرجه أبو داود (2280)، وأحمد (770) مطولا، وكلاهما بلفظه ، والنسائي في ((السنن الكبرى)) (8402) بنحوه .,أقضية وأحكام - قضايا حكم فيها النبي صلى الله عليه وسلم|فضائل النبي وصفته ودلائل النبوة - اختصام المؤمنين إليه صلى الله عليه وسلم وحكمه عليهم|نكاح - حضانة الأبناء
271,- الخالَةُ بمنزلةِ الأُمِّ [يعني حديث: اعْتَمَرَ النَّبيُّ صَلَّى اللهُ عليه وسلَّمَ في ذِي القَعْدَةِ، فأبَى أهْلُ مَكَّةَ أنْ يَدَعُوهُ يَدْخُلُ مَكَّةَ حتَّى قَاضَاهُمْ علَى أنْ يُقِيمَ بهَا ثَلَاثَةَ أيَّامٍ، فَلَمَّا كَتَبُوا الكِتَابَ، كَتَبُوا: هذا ما قَاضَى عليه مُحَمَّدٌ رَسولُ اللَّهِ، فَقالوا: لا نُقِرُّ بهَا؛ فلوْ نَعْلَمُ أنَّكَ رَسولُ اللَّهِ ما مَنَعْنَاكَ، لَكِنْ أنْتَ مُحَمَّدُ بنُ عبدِ اللَّهِ، قَالَ: أنَا رَسولُ اللَّهِ، وأَنَا مُحَمَّدُ بنُ عبدِ اللَّهِ، ثُمَّ قَالَ لِعَلِيٍّ: امْحُ «رَسولُ اللَّهِ»، قَالَ: لا واللَّهِ، لا أمْحُوكَ أبَدًا، فأخَذَ رَسولُ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ الكِتَابَ، فَكَتَبَ: هذا ما قَاضَى عليه مُحَمَّدُ بنُ عبدِ اللَّهِ، لا يَدْخُلُ مَكَّةَ سِلَاحٌ إلَّا في القِرَابِ، وأَنْ لا يَخْرُجَ مِن أهْلِهَا بأَحَدٍ إنْ أرَادَ أنْ يَتَّبِعَهُ، وأَنْ لا يَمْنَعَ أحَدًا مِن أصْحَابِهِ أرَادَ أنْ يُقِيمَ بهَا، فَلَمَّا دَخَلَهَا ومَضَى الأجَلُ، أتَوْا عَلِيًّا فَقالوا: قُلْ لِصَاحِبِكَ: اخْرُجْ عَنَّا؛ فقَدْ مَضَى الأجَلُ، فَخَرَجَ النَّبيُّ صَلَّى اللهُ عليه وسلَّمَ، فَتَبِعَتْهُمُ ابْنَةُ حَمْزَةَ: يا عَمِّ، يا عَمِّ، فَتَنَاوَلَهَا عَلِيُّ بنُ أبِي طَالِبٍ رَضِيَ اللَّهُ عنْه، فأخَذَ بيَدِهَا، وقَالَ لِفَاطِمَةَ عَلَيْهَا السَّلَامُ: دُونَكِ ابْنَةَ عَمِّكِ، حَمَلَتْهَا، فَاخْتَصَمَ فِيهَا عَلِيٌّ، وزَيْدٌ، وجَعْفَرٌ؛ فَقَالَ عَلِيٌّ: أنَا أحَقُّ بهَا، وهي ابْنَةُ عَمِّي، وقَالَ جَعْفَرٌ: ابْنَةُ عَمِّي، وخَالَتُهَا تَحْتِي، وقَالَ زَيْدٌ: ابْنَةُ أخِي، فَقَضَى بهَا النَّبيُّ صَلَّى اللهُ عليه وسلَّمَ لِخَالَتِهَا، وقَالَ: الخَالَةُ بمَنْزِلَةِ الأُمِّ، وقَالَ لِعَلِيٍّ: أنْتَ مِنِّي وأَنَا مِنْكَ، وقَالَ لِجَعْفَرٍ: أشْبَهْتَ خَلْقِي وخُلُقِي، وقَالَ لِزَيْدٍ: أنْتَ أخُونَا ومَوْلَانَا.],صحيح,البراء بن عازب,صحيح الترمذي,1904,أخرجه البخاري (2699 ),بر وصلة - بر الخالة|فرائض ومواريث - ذوي الأرحام|نكاح - حضانة الأبناء
272,- مَن شَهِدَ الجَنازَةَ حتَّى يُصَلِّيَ، فَلَهُ قِيراطٌ، ومَن شَهِدَ حتَّى تُدْفَنَ كانَ له قِيراطانِ، قيلَ: وما القِيراطانِ؟ قالَ: مِثْلُ الجَبَلَيْنِ العَظِيمَيْنِ.,[صحيح],أبو هريرة,صحيح البخاري,1325,أخرجه البخاري (1325)، ومسلم (945),جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|آداب عامة - ضرب الأمثال|إيمان - الوعد
273,- مَن شهِد الجنازةَ حتَّى يُصلَّى عليها فله قيراطٌ ومَن شهِدها حتَّى تُدفَنَ فله قيراطانِ ) قيل: يا رسولَ اللهِ وما القيراطانِ ؟ قال: ( مِثْلُ جبلَيْنِ عظيميْنِ,أخرجه في صحيحه,أبو هريرة,صحيح ابن حبان,3078,,جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|إحسان - الحث على الأعمال الصالحة|جنائز وموت - حضور الدفن وحثو التراب
274,-  مَن صلى على جَنازةٍ فله قِيراطٌ ، فإن شَهِدَ دَفْنَها فله قِيراطانِ ، والقِيراطُ مِثْلُ جبلِ أُحُدٍ,صحيح,ثوبان مولى رسول الله صلى الله عليه وسلم,صحيح الجامع,6352,,جنائز وموت - صلاة الجنازة|جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|إحسان - الحث على الأعمال الصالحة|صلاة الجنازة - أحكام صلاة الجنازة
275,-  مَنْ تَبِعَ جنازَةً حتى يُصَلَّى عليها ، كان له مِنَ الأجرِ قيراطٌ ، ومَنْ مَشَى مَعَ الجنازَةِ حتَّى تُدْفَنَ ، كانَ لَهُ منَ الأجْرِ قيراطانِ ، والقيراطُ مثلُ أحدٍ,صحيح,البراء بن عازب وثوبان,صحيح الجامع,6134,,جنائز وموت - اتباع الجنائز|رقائق وزهد - مضاعفة الحسنات|صلاة الجنازة - فضل الصلاة على الجنازة
276,-  مَنْ تَبِعَ جنازَةً حتى يُصَلَّى عليْها ، ويُفْرَغَ منها ، فَلَهُ قيراطانِ ، ومَنْ تَبِعَها حتَّى يُصَلَّى علَيْها ، فلَهُ قيراطٌ ، والذي نفسُ محمدٍ بيدِهِ ، لهوَ أَثْقَلُ فِي ميزانِهِ مِنْ أُحُدٍ,صحيح,أبي بن كعب,صحيح الجامع,6135,,أيمان - كيف كانت يمين رسول الله صلى الله عليه وسلم|جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة
277,-  مَنْ تَبِعَ جنازَةً حتى يُفْرَغَ منها ، فلَهُ قيراطانِ ، فإِنْ رجعَ قبلَ أنْ يُفْرَغَ منها ، فله قيراطٌ,صحيح,عبدالله بن مغفل,صحيح الجامع,6136,أخرجه النسائي (1941) بلفظه، وأحمد (20575)، والروياني (878) باختلاف يسير.,جنائز وموت - اتباع الجنائز|رقائق وزهد - مضاعفة الحسنات|إحسان - الحث على الأعمال الصالحة
278,-  مَنْ تَبِعَ جنازَةً فصَلَّى عليْها ، ثُمَّ انصرفَ ، فلَهُ قيراطٌ منَ الأجرِ ، ومَنْ تبِعَها فصلَّى عليْها ، ثُمَّ قعَدَ حتَّى فرَغَ منْها ومِنْ دَفْنِها ، فَلَهُ قيراطانِ مِنَ الأجْرِ ، كُلُّ واحدٍ منها أعظمٌ مِنْ أُحُدٍ,حسن,أبو هريرة,صحيح الجامع,6137,أخرجه النسائي (1997) باختلاف يسير، وأخرجه البخاري (47)، ومسلم (945) بنحوه,جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|إحسان - الحث على الأعمال الصالحة
279,-  مَن تَبِعَ جِنازةً حتَّى يصلَّى عليها ؛ فإنَّ له قيراطًا، فسُئِلَ رسولُ اللهِ عنِ القيراطِ ؟ قال : مِثلُ أُحُدٍ.,صحيح,عبدالله بن عمر,صحيح الترغيب,3502,أخرجه أحمد (4650)، والطبراني (13/180) (13884)، والخطيب في ((الموضح)) (2/144) باختلاف يسير,جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|إحسان - الحث على الأعمال الصالحة
280,-  من صلَّى على جنازةٍ فله قيراطٌ ، وإن شهِد دفنَها فله قيراطانِ والذي نفْسُ محمدٍ بيدِه القيراطُ أعظمُ من أُحُدٍ هذا .,صحيح لغيره,أبي بن كعب,صحيح الترغيب,3501,,أيمان - كيف كانت يمين رسول الله صلى الله عليه وسلم|جنائز وموت - صلاة الجنازة|جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|إحسان - الحث على الأعمال الصالحة
281,-  مَن خرج مع جَنازةٍ من بيتِها ، وصَلَّى عليها ، ثم تَبِعها حتى تُدْفَنَ ، كان له قِيراطانِ من أجرٍ كلُّ قِيراطٍ مِثْلُ أُحُدٍ ، ومَن صلى عليها ثم رجع ، كان له من الأجرِ مِثْلُ أُحُدٍ,صحيح,عائشة وأبو هريرة,صحيح الجامع,6226,,جنائز وموت - اتباع الجنائز|رقائق وزهد - مضاعفة الحسنات|صلاة الجنازة - فضل الصلاة على الجنازة|إحسان - الحث على الأعمال الصالحة|جنائز وموت - حضور الدفن وحثو التراب
282,-  مَن شَهِد الجَنازةَ حتى يُصَلَّى عليها فله قِيراطٌ ، ومَن شَهِدَها حتى تُدْفَنَ كان له قِيراطانِ ، مِثْلُ الجبلينِ العظيمينِ,صحيح,أبو هريرة,صحيح الجامع,6317,أخرجه البخاري (1325)، ومسلم (945) باختلاف يسير.,جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|آداب عامة - ضرب الأمثال|إيمان - الوعد
283,-  مَن صلى على جَنازةٍ ، ولم يَتْبَعْها ، فله قِيراطٌ ، فإن تَبِعَها فله قِيراطانِ,صحيح,أبو هريرة,صحيح الجامع,6355,أخرجه مطولاً البخاري (1325)، ومسلم (945) واللفظ له,جنائز وموت - صلاة الجنازة|جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|إحسان - الحث على الأعمال الصالحة|صلاة الجنازة - أحكام صلاة الجنازة
287,- من صلَّى على جنازةٍ فلَهُ قيراطٌ ومنِ انتظرَها حتَّى توضعَ في اللَّحدِ فلَهُ قيراطانِ والقيراطانِ مثلُ الجبلينِ العظيمينِ,صحيح,أبو هريرة,صحيح النسائي,1993,أخرجه النسائي (1994) واللفظ له، وأخرجه البخاري (1325)، ومسلم (945) باختلاف يسير,جنائز وموت - صلاة الجنازة|جنائز وموت - اتباع الجنائز|صلاة الجنازة - فضل الصلاة على الجنازة|آداب عامة - ضرب الأمثال
289,"- [عن] عروة بن الزبير عن عائشةَ أنَّها أخبَرَتْه أنَّ فاطمةَ بنتَ رسولِ اللهِ صلَّى اللهُ عليه وسلَّم أرسَلَتْ إلى أبي بكرٍ تسأَلُه ميراثَها مِن رسولِ اللهِ صلَّى اللهُ عليه وسلَّم ممَّا أفاء اللهُ عليه بالمدينةِ وفَدَكَ وما بقي مِن خُمُسِ خَيبرَ فقال أبو بكرٍ : إنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّم قال : ( إنَّا لا نُورَثُ ما ترَكْنا صدقةٌ إنَّما يأكُلُ آلُ مُحمَّدٍ صلَّى اللهُ عليه وسلَّم في هذا المالِ ) وإنِّي واللهِ لا أُغيِّرُ شيئًا مِن صدقةِ رسولِ اللهِ صلَّى اللهُ عليه وسلَّم عن حالِها الَّتي كانت عليها في عهدِ رسولِ اللهِ صلَّى اللهُ عليه وسلَّم ولَأعمَلَنَّ فيها بما عمِل به رسولُ اللهِ صلَّى اللهُ عليه وسلَّم فأبى أبو بكرٍ أنْ يدفَعَ إلى فاطمةَ منها شيئًا فوجَدَتْ فاطمةُ على أبي بكرٍ في ذلك وهجَرَتْه فلَمْ تُكلِّمْه حتَّى تُوفِّيَتْ بعدَ رسولِ اللهِ صلَّى اللهُ عليه وسلَّم بستَّةِ أشهُرٍ فلمَّا تُوفِّيَتْ دفَنها زوجُها عليُّ بنُ أبي طالبٍ رضِي اللهُ عنه ليلًا ولم يُؤذِنْ بها أبا بكرٍ وصلَّى عليها
وكان لِعَلِيٍّ مِن النَّاسِ وِجهةٌ حياةَ فاطمةَ فلمَّا تُوفِّيَتْ فاطمةُ استنكَر وجوهَ النَّاسِ فالتَمَس مُصالَحةَ أبي بكرٍ ومُبايَعتَه ولم يكُنْ بايَع تلك الأشهُرَ فأرسَل إلى أبي بكرٍ أنِ ائتِنا ولا يأتِنا معك أحَدٌ ـ كراهيةَ أنْ يحضُرَ عُمَرُ بنُ الخطَّابِ ـ فقال عُمَرُ بنُ الخطَّابِ لأبي بكرٍ : واللهِ لا تدخُلُ عليهم وحدَك فقال أبو بكرٍ : ما عسى أنْ يفعَلوا بي واللهِ لَآتيَنَّهم فدخَل أبو بكرٍ عليهم فتشهَّد علِيُّ بنُ أبي طالبٍ وقال : إنَّا قد عرَفْنا يا أبا بكرٍ فضيلتَك وما أعطاك اللهُ ولم أنفَسْ خيرًا ساقه اللهُ إليك ولكنَّك استبدَدْتَ علينا بالأمرِ وكنَّا نرى أنَّ لنا حقًّا لِقرابتِنا مِن رسولِ اللهِ صلَّى اللهُ عليه وسلَّم فلَمْ يزَلْ يُكلِّمُ أبا بكرٍ حتَّى فاضَتْ عَيْنَا أبي بكرٍ
فلمَّا تكلَّم أبو بكرٍ قال : والَّذي نفسي بيدِه لَقرابةُ رسولِ اللهِ صلَّى اللهُ عليه وسلَّم أحَبُّ إليَّ مِن أنْ أصِلَ أهلي وقرابتي وأمَّا الَّذي شجَر بَيْني وبَيْنكم مِن هذه الأموالِ فلَمْ آلُ فيها عن الخيرِ ولَمْ أترُكْ أمرًا رأَيْتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّم يصنَعُه فيها إلَّا صنَعْتُه فقال عليُّ بنُ أبي طالبٍ رضِي اللهُ عنه لأبي بكرٍ : موعِدُك العشيَّةُ للبَيْعةِ
فلمَّا صلَّى أبو بكرٍ صلاةَ الظُّهرِ رقِي على المِنبَرِ فتشهَّد ثمَّ ذكَر شأنَ عليِّ بنِ أبي طالبٍ وتخلُّفَه عنِ البَيْعةِ وعذَره بالَّذي اعتذَر إليه ثمَّ استغفَر وتشهَّد علِيُّ بنُ أبي طالبٍ فعظَّم حقَّ أبي بكرٍ وحُرمتَه وأنَّه لَمْ يحمِلْه على الَّذي صنَع نَفاسةٌ على أبي بكرٍ ولا إنكارًا لِلَّذي فضَّله اللهُ به ولكنَّا كنَّا نرى لنا في هذا الأمرِ نصيبًا فاستُبِدَّ علينا به فوجَدْنا في أنفسِنا فسُرَّ بذلك المُسلِمونَ وقالوا : أصَبْتَ وكان المُسلِمونَ إلى علِيٍّ قريبًا حينَ راجَع الأمرَ بالمعروفِ",أخرجه في صحيحه,أبو بكر الصديق,صحيح ابن حبان,6607,أخرجه البخاري (4240، 4241)، ومسلم (1759) باختلاف يسير,أيمان - لفظ اليمين وما يحلف به|اعتصام بالسنة - لزوم السنة|غنائم - قسمة خيبر|فرائض ومواريث - لا نورث ما تركنا صدقة|فضائل النبي وصفته ودلائل النبوة - خصائصه صلى الله عليه وسلم
